Institution,Country,Latitude,Longitude
Zoom,USA,37.09024,-95.712891
Vidyasirimedhi Institute of Science and Technology (VISTEC),Thailand,13.0020925,101.4435544
Voleon Group,NA,,
University of Maryland,United States,39.2892118,-76.6236815
Ghent University,Belgium,51.0466584,3.7273733
Université de Lorraine,France,48.6961769,6.1765379
Universität Freiburg,Germany,47.9935441,7.845949599999999
State University of New York at Binghamton,United States,42.0894288,-75.9694885
Indian Statistical Institute,India,22.6486824,88.37689139999999
Fujitsu Research and Development Center Co. Ltm.,Japan,36.204824,138.252924
Université Gustave Eiffel - ESIEE Paris,France,48.8398086,2.5836143
"Eastern Institute of Technology, Ningbo",China,29.868336,121.54399
Carnegie-Mellon University,United States,40.4432027,-79.9428499
NAVER AI Lab,South Korea,35.907757,127.766922
The University of Manchester,United Kingdom,53.4668498,-2.2338837
Universität Siegen,Germany,50.911246,8.0254579
NXAI,Namibia,-22.95764,18.49041
"SEAS, Harvard University",United States,42.3633027,-71.12604209999999
LMU München,Germany,48.1509185,11.5798609
NEC,Japan,,
"Centre for Artificial Intelligence and Robotics (CAIR), Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",China,35.86166,104.195397
Layer 6 AI,Canada,43.6595009,-79.3896697
Swiss Federal Institute of Technology Lausanne,Switzerland,46.5190557,6.5667576
GlaxoSmithKline plc,United Kingdom,55.378051,-3.435973
SNU,South Korea,37.4648267,126.9571988
"Biomedical Engineering, Tsinghua University",China,39.9996674,116.3264439
Pacific Northwest National Lab,United States,37.09024,-95.712891
Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),Germany,52.438275,13.0125662
NTT,Japan,,
The University of Sydney,Australia,-25.274398,133.775136
"IBM Research, Israel",Israel,31.046051,34.851612
Insitute for Basic Science,South Korea,35.907757,127.766922
IDEA,Norway,60.47202399999999,8.468945999999999
Harbin Engineering University,China,45.77323699999999,126.664126
Salesforce Research Asia,Singapore,,
"LIRIS, CNRS",France,45.7839508,4.7674785
WeChat,China,35.86166,104.195397
"Indian Institute of Science, Dhirubhai Ambani Institute Of Information and Communication Technology",India,20.593684,78.96288
Amrita Vishwa Vidyapeetham,India,10.9037905,76.89835169999999
"Department of Mathematical science, Tsinghua University",China,39.9996674,116.3264439
"School of Computer and Communication Sciences, EPFL - EPF Lausanne",Switzerland,46.5190557,6.5667576
University of Seoul,South Korea,37.5838657,127.0587771
Chuo University,Japan,36.204824,138.252924
xidian university,China,35.86166,104.195397
Federal Institute of Ceará,Brazil,-5.4983977,-39.3206241
Technical University of Munich,Germany,48.1487646,11.5681764
"École Polytechnique de Montréal, Université de Montréal",Canada,45.5056156,-73.61375919999999
Shanghai University,China,31.31480359999999,121.382746
OMRON SINICX Corp.,Japan,35.7092149,139.7605097
"Department of Electrical Engineering, KU Leuven, Belgium, KU Leuven",Belgium,50.87809710000001,4.699705300000001
Changsha University of Science and Technology,China,28.2277799,112.93886
"The Chinese University of Hong Kong, Shenzhen",China,22.687845,114.209931
", University of Pennsylvania",United States,41.2033216,-77.1945247
University of Southampton,United Kingdom,55.378051,-3.435973
JD AI Research,NA,,
ELLIS Institute Tübingen,Germany,48.5383978,9.0556476
nanjing university,China,32.0568391,118.7789602
University of Montreal and Mila,Canada,45.5018869,-73.56739189999999
"Department of Computer Science, University of Illinois",United States,40.6331249,-89.3985283
"Department of Computer Science, National Yang Ming Chiao Tung University",Taiwan,24.7868862,120.9974969
International Digital Economy Academy (IDEA),Russia,61.52401,105.318756
King Mongkut's University of Technology Thonburi,Thailand,13.6512522,100.4964428
"Department of Computer Science, University of North Carolina, Chapel Hill",United States,35.909876,-79.05322509999999
Clemson University,United States,34.6834382,-82.8373654
NAVER LABS Europe,South Korea,35.907757,127.766922
Univeristé Paris-Dauphine,France,48.8701419,2.2736197
Kristiania University College,Norway,59.9117645,10.7439975
UT-Dallas,USA,32.9856977,-96.7502473
A*STAR Centre for Frontier AI Research,Singapore,1.352083,103.819836
University of Illinois at Urbana-Champaign,United States,40.1019523,-88.2271615
Hong Kong University of Science and Technology,China,35.86166,104.195397
Ernst Strungmann Institute for Neuroscience,Germany,50.09349,8.65219
"Tokyo University of Agriculture and Technology, Tokyo Institute of Technology",Japan,35.6839551,139.4786719
Université Gustave Eiffel,France,48.8396645,2.5866526
General Motors R&D,USA,37.09024,-95.712891
"SUN YAT-SEN UNIVERSITY, Tsinghua University",China,35.86166,104.195397
Samsung Rearch China-Beijing(SRCB),China,39.904211,116.407395
University of Oslo,Norway,59.9404992,10.7215296
The Boston Dynamics AI Institute,USA,37.09024,-95.712891
Eastern Institute for Advanced Study,NA,40.3316778,-74.66808329999999
DONGGUAN UNIVERSITY OF TECHNOLOGY,China,23.0206699,113.75179
University of Manchester,United Kingdom,53.4668498,-2.2338837
Docta.ai,NA,,
VinUniversity,Vietnam,20.9910527,105.9461784
Inceptio,NA,,
Lawrence Livermore National Laboratory,United States,37.6869634,-121.7058752
Meta FAIR,NA,,
GSFC NASA,United States,38.99495,-76.85234400000002
"Agency for Science, Technology and Research (A*STAR)",Singapore,1.298727,103.7873828
"University of Texas, San Antonio",United States,29.4251905,-98.4945922
InVivo AI,NA,45.5304828,-73.61387789999999
École Polytechnique,France,48.7142971,2.2112917
shanxi university,China,37.8097105,112.5700854
Tilburg University,Netherlands,51.5631906,5.0424031
Aleph Alpha GmbH,Germany,49.4243563,8.6378662
Barcelona Supercomputing Center,Spain,41.3899442,2.1153769
BIFOLD & TU Berlin,Germany,52.52000659999999,13.404954
Universidad de Los Andes,Colombia,4.570868,-74.297333
"Computing Science, University of British Columbia",Canada,49.26060520000001,-123.2459939
LAAS / CNRS,France,43.5633427,1.4768695
IBM Research Europe,Switzerland,46.818188,8.227511999999999
Fabu Inc,NA,43.711886,-79.3940186
The Hong Kong University of Science and Technology (Guangzhou)),China,23.1290799,113.26436
Moonshot AI,NA,,
"Soochow University, China",China,31.303257,120.651928
Technische Universität Wien,Austria,48.1986546,16.3684626
Czech Technical Univeresity in Prague,Czechia,50.1031749,14.3947511
Rutgers University,United States,40.7406438,-74.173126
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,24.4326227,54.6184724
Advanced Micro Devices,USA,37.09024,-95.712891
South Dakota State University,United States,44.3191071,-96.78351819999999
HP Inc,United States,37.09024,-95.712891
École Polytechnique IP-Paris,France,48.7126092,2.2107564
"School of Computer Science, University of Waterloo",Canada,43.4722854,-80.5448576
Samsung Research China-Beijing,China,39.9076782,116.4633809
"University of Toronto, Department of Computer Science",Canada,43.6595745,-79.3973729
bytedance,China,35.86166,104.195397
Ohio State University,United States,39.9993865,-83.0227103
", University of Chicago",United States,41.7904484,-87.6003953
University of Science and Technology,NA,,
CSEM,Switzerland,46.9975659,6.947451399999999
"Ecole Normale Supérieure, Ecole Normale Supérieure de Paris",France,48.8418769,2.3451397
Data61,Australia,-33.895426,151.197152
TensorTour Inc.,NA,,
"FAIR Labs, Meta AI",USA,37.09024,-95.712891
Gatsby Computational Neuroscience Unit,United Kingdom,51.5210838,-0.1383211
ZHIPU AI,China,35.86166,104.195397
University of the Chinese Academy of Sciences,China,40.408141,116.682386
Tencent Content and Platform Group,China,35.86166,104.195397
Meta Reality Labs,USA,47.68747339999999,-122.1491549
"INSC, Tsinghua University",China,39.9996674,116.3264439
University of Ottawa,Canada,45.42310639999999,-75.68313289999999
"Samsung AI Center, Cambridge, UK",United Kingdom,52.1950788,0.1312729
Huawei Noah's Ark Lab,China,35.86166,104.195397
Omron Sinic X,China,35.86166,104.195397
Central South University,China,28.16437,112.93251
NCSOFT Corp,South Korea,35.907757,127.766922
"Rutgers University, Newark",United States,40.7406438,-74.173126
Cloudwise Research,NA,,
Birla Institute of Tchnology and Science - KK Birla Goa Campus,India,15.2993265,74.12399599999999
"Nanjing Enbo Technology Co., Ltd., Nanjing, China",China,32.0499129,118.7741299
IIT,India,20.593684,78.96288
King Abdullah University of Science and Technology (KAUST),Saudi,22.313251,39.1094336
"University of Notre Dame, USA",USA,41.7051917,-86.2351655
"Max Planck Institute for Mathematics in the Sciences, Max-Planck Institute",Germany,51.341455,12.3912161
"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",Canada,45.5307147,-73.6135931
City College of New York,United States,40.8200471,-73.9492724
Zhejiang University of Technology,China,30.2655499,120.1536
FriendliAI,NA,37.5077899,127.0365299
Institut für Mathematik,Austria,47.2674233,11.4249536
JHU,United States,39.3299013,-76.6205177
Harvard Ophthalmology AI lab,USA,42.3744368,-71.1182488
University of California Berkeley,United States,37.87015100000001,-122.2594606
"Mathematical Institute, University of Oxford",United Kingdom,51.76058860000001,-1.2627675
"Institute information of engineering, chinese academy of sciences",China,39.9106327,116.3356321
"Bar Ilan University, Israel",Israel,32.0691989,34.8430876
Université François Rabelais de Tours,France,47.38380799999999,0.6740151999999999
", CSIRO",Australia,-25.274398,133.775136
"Hokkaido University, Tokyo Institute of Technology",Japan,43.2203266,142.8634737
Sungkyunkwan University,South Korea,37.588227,126.993606
Yonsei University,South Korea,37.5663937,126.9387066
Korea Advanced Institute of Science and Technology,South Korea,36.3721427,127.36039
"Westlake University, Zhejiang University, National University of Singapore",China,1.352083,103.819836
Wageningen University,Netherlands,51.9863475,5.668019
"School of Engineering, University of Pennsylvania",United States,39.9522188,-75.1932137
City University of London,United Kingdom,51.5279719,-0.1024624
Rice University,United States,29.7168363,-95.4035531
Leibniz Universität Hannover,Germany,52.3822216,9.7177805
New York University Shanghai,China,31.225854,121.53415
"Qualcomm AI Research, Qualcomm Inc, QualComm",USA,37.09024,-95.712891
QualComm AI Research,USA,37.09024,-95.712891
Université de Rouen - Haute Normandie,France,49.4584181,1.0674362
Northwest A&F University,China,34.262298,108.073742
Genpact LLC,India,20.593684,78.96288
CSIRO's Data61,Australia,-33.895426,151.197152
The Education University of Hong Kong,Hong Kong,22.4670285,114.1936333
Harvard Ophthalmology AI Lab,USA,42.3744368,-71.1182488
"Deparment of Computing + Mathematical Sciences, California Institute of Technology",United States,36.778261,-119.4179324
TU Berlin,Germany,52.52000659999999,13.404954
Niantic,USA,41.3253756,-72.1931338
ASAPP,India,20.593684,78.96288
Paris-Lodron-University of Salzburg,Austria,47.7972387,13.0480985
"Department of Automation, Tsinghua University",China,39.9996674,116.3264439
Chalmers University of technology,Sweden,57.6898004,11.9741617
Steklov Institute of Mathematics at St. Petersburg,Russia,59.9310584,30.3609097
Johannes Kepler Universität Linz,Austria,48.3372867,14.3164432
"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",Canada,45.5307147,-73.6135931
Two Sigma Ventures,USA,37.09024,-95.712891
IPE,Norway,60.47202399999999,8.468945999999999
Zalando SE,Germany,51.165691,10.451526
"Beijing Knowledge Atlas Technology Co., Ltd.",China,39.904211,116.407395
Bosch Center for AI,Germany,51.165691,10.451526
"FAIR, Meta",Ireland,53.77975540000001,-7.3055309
General Electric,USA,,
Naver Labs Europe,South Korea,35.907757,127.766922
"Wharton Statistics Department, The Wharton School",USA,37.09024,-95.712891
"Machine Learning Department, School of Computer Science",USA,40.44416469999999,-79.9433725
Salesforce AI Research,USA,37.09024,-95.712891
Microsoft,United States,,
"Harbin Institute of Technology, Shenzhen",China,22.586345,113.9683681
Universität Ulm,Germany,48.4010822,9.987607599999999
Seoul National University of Science and Technology,South Korea,37.6316684,127.0774813
qiyuanlab,China,35.86166,104.195397
ETHZ - ETH Zurich,Switzerland,47.4085885,8.5061792
Munster Technological University,Ireland,51.886048,-8.533569
Korea Institute for Advanced Study,South Korea,37.5928514,127.0457461
"School of Science and Engineering, The Chinese University of Hong Kong, Shenzhen",China,22.687845,114.209931
Université d'Orléans,France,47.8453037,1.9339062
"KU Leuven, KU Leuven",Belgium,50.87809710000001,4.699705300000001
HKBU,Hong Kong,22.3408088,114.1798757
Simular,NA,,
DePaul University,United States,41.9241868,-87.65416549999999
"Max Planck Institute for Intelligent Systems, Max Planck Institute for Intelligent Systems",Germany,48.7468939,9.0805141
"Apple, AI/ML",USA,37.09024,-95.712891
"University of California, Los Angeles",United States,34.0699182,-118.4438495
Rheinische Friedrich-Wilhelms Universität Bonn,Germany,50.7267806,7.0864528
Toulouse School of Economics,France,43.6046672,1.4350928
Brave Software,USA,37.09024,-95.712891
German Research Center for AI,Germany,49.4295181,7.7513891
Reka AI,NA,,
Los Alamos National Laboratory,United States,35.8775628,-106.3201361
"Department of Computer Science, University of Illinois at Urbana Champaign",United States,40.1019523,-88.2271615
"School of Informatics, University of Edinburgh",Scotland,55.9447872,-3.1872827
Università di Modena e Reggio Emilia,Italy,44.6451145,10.928124
"Department of Computer Science, Whiting School of Engineering",United States,39.3285826,-76.6207908
Nanjing university of Science & Technology,China,32.0583799,118.79647
State University of New York at Buffalo,United States,43.0018111,-78.78952389999999
SLAC National Laboratory,United States,37.4198888,-122.2043459
Huawei Singapore,Singapore,1.2844948,103.8511573
ISCAS,China,35.86166,104.195397
Vin University,Vietnam,20.9880379,105.9442597
Sharif University of Technology,Iran,35.7036491,51.3517033
Solventum,NA,,
Indian Institute of Technology Kharagpur,India,22.3149274,87.31053109999999
"Istituto Italiano di Tecnologia, Italy",Italy,41.87194,12.56738
Xiaohongshu,China,35.86166,104.195397
Infly Technology,NA,,
Geometric Data Analytics,NA,35.9965365,-78.9039348
University of Missouri - Kansas City,United States,39.0343551,-94.58342739999999
Bosch Center for Artificial Intelligence,Germany,51.165691,10.451526
University of North Carolina at Charlotte,United States,35.3074169,-80.73521219999999
Institut für Informationsverarbeitung,Austria,47.516231,14.550072
Airbnb,United States,37.09024,-95.712891
Accenture,Ireland,53.77975540000001,-7.3055309
Sung Kyun Kwan University,South Korea,37.588227,126.993606
"Key Laboratory of Intelligent Information Processing Institute of Computing Technology, Chinese Academy of Sciences",China,35.86166,104.195397
Adobe,USA,,
"JPMorgan Chase, FLARE",United States,37.09024,-95.712891
Mohamed bin Zayed University of Artificial Intelligence,United Arab Emirates,23.424076,53.847818
Università degli Studi di Milano,Italy,45.468503,9.182402699999999
Ben-Gurion University of the Negev,Israel,31.261426,34.7995546
St. Petersburg Department of Steklov Mathematical Institute,Russia,59.9310584,30.3609097
"Robert Bosch GmbH, Bosch",Germany,51.165691,10.451526
Sorbonne University,France,48.8468998,2.3554958
"Pinterest, Inc.",United States,37.09024,-95.712891
J.P. Morgan,United States,37.09024,-95.712891
University of Colorado Boulder,United States,40.0073499,-105.2659871
Universidad Complutense de Madrid,Spain,40.4454368,-3.7299424
"Faculty of Electrical Engineering and Computing, University of Zagreb",Croatia,45.8003692,15.9713773
PASQAL,France,46.227638,2.213749
Mitsubishi Electric Corporation,Japan,36.204824,138.252924
"Higher School of Economics, Higher School of Economics",Russia,55.761458,37.63327530000001
HEC Montreal,Canada,45.5035488,-73.6211174
Tel Aviv University,Israel,32.113496,34.803609
"University of Washington, Seattle",United States,47.65464069999999,-122.3074579
"Automation, Tsinghua University, Tsinghua University",China,39.9996674,116.3264439
ZIB,Austria,47.516231,14.550072
Shanghai Aritifcal Intelligence Laboratory,China,31.230416,121.473701
Cainiao Network,China,35.86166,104.195397
TU Wien Vienna University of Technology,Austria,48.1986546,16.3684626
Aristotle University of Thessaloniki,Greece,40.6308283,22.9592224
Flatiron Institute,USA,37.09024,-95.712891
University of Bath,United Kingdom,51.3782228,-2.3263987
Singapore Institute of Technology,Singapore,1.30042,103.7804574
"Meta Platforms, Inc",United States,37.09024,-95.712891
SIG,Norway,60.47202399999999,8.468945999999999
Hamad Bin Khalifa University,Qatar,25.3141314,51.4323474
Fordham University,United States,40.8614567,-73.8852771
Mississippi State University,United States,33.4555279,-88.7903868
Lenovo Research,China,35.86166,104.195397
Fortiss GmbH,Austria,47.516231,14.550072
Yellow Technologies,Ukraine,48.379433,31.16558
Brookhaven National Laboratory,United States,37.09024,-95.712891
Zhongguancun Laboratory,China,39.98378,116.31932
Universite Cote d'Azur,France,43.7168559,7.2679621
University of Michigan Ann Arbor,USA,42.277145,-83.7382071
"Czech Technical Univeresity in Prague, Czech Technical University of Prague",Czechia,50.1031749,14.3947511
Sookmyung Women's University,South Korea,37.54647500000001,126.9646916
Facebook Reality Labs,USA,47.68747339999999,-122.1491549
"Hitachi, Ltd.",Japan,36.204824,138.252924
The Chinese University of Hong Kong (Shenzhen); National University of Singapore,Singapore,22.5428599,114.05956
Beijing Academy of Artificial Intelligence,China,39.904211,116.407395
"Institute of Automation, Chinese Academy of Sciences",China,39.980196,116.333305
Air Force Institute of Technology,United States,39.7821574,-84.0838943
"School of mathematical Science, Peking University",China,39.904211,116.407395
Northeastern University London,NA,,
Dalian University of Technology,China,38.880381,121.529021
"University of Texas, Austin",United States,30.2850284,-97.7335226
Genify.ai,NA,,
Meituan,China,,
Getulio Vargas Foundation,Brazil,-22.9416613,-43.1800529
Hive,NA,,
Oak Ridge National Laboratory,United States,35.9311679,-84.3101161
Sea AI Lab,NA,,
genentech,USA,,
Qiyuanlab,China,35.86166,104.195397
SK hynix,South Korea,35.907757,127.766922
Amazon/AWS,USA,,
Centrum voor Wiskunde en Informatica,Netherlands,52.3565315,4.9519851
"Concordia University, Montreal",Canada,45.4948363,-73.5779128
"CS Department, TU Darmstadt, TU Darmstadt",Germany,49.8774151,8.6546102
Amherst College,United States,42.3709104,-72.5170028
"RWTH Aachen, Rheinisch Westfälische Technische Hochschule Aachen",Germany,50.7775413,6.077485299999999
The University of Melbourne,Australia,-37.7983459,144.960974
Telstra,Australia,-25.274398,133.775136
Zhejiang Normal University,China,30.2655499,120.1536
Finvolution Group,NA,,
Latent Labs,NA,,
Slovak University of Technology in Bratislava,Slovakia,48.1545998,17.1174857
Ecole Nationale de la Statistique et de l'Analyse de l'information,France,48.05062059999999,-1.7417817
University of Rostock,Germany,54.0751642,12.1040368
INP Toulouse,France,43.5548178,1.5010751
Reworkd,NA,,
Société Nationale des Chemins de fer Français,France,46.227638,2.213749
Champalimaud Centre for the Unknown,Portugal,38.6935321,-9.2214321
University of Utah,United States,40.7649368,-111.8421021
Brigham Young University,United States,40.2518435,-111.6493156
Purdue University,United States,40.4237054,-86.92119459999999
Institute of Automation Chinese Academy of Sciences,China,39.980196,116.333305
"Institute for Interdisciplinary Information Sciences (IIIS), Tsinghua University",China,39.9996674,116.3264439
University of Newcastle-upon-Tyne,England,54.9791871,-1.6146608
Instacart,Canada,56.130366,-106.346771
PersLab Research,NA,,
DUNHUANG ACADEMY,China,40.0470276,94.8108226
"Department of Computer Science, Tsinghua University",China,40.001369,116.333823
Singapore University of Social Sciences,Singapore,1.329081,103.7761967
Wrtn Technologies,NA,,
Chalmers University,Sweden,57.6898004,11.9741617
Xiaomi Corp.,China,35.86166,104.195397
Colorado State University,United States,40.5729432,-105.0848391
Kakao Brain,South Korea,37.3942381,127.11031
Google Brain Robotics & Columbia University,USA,37.09024,-95.712891
University of Southern Denmark,Denmark,55.3689827,10.4282364
Ruhr-Universität Bochum,Germany,51.4468863,7.2617049
Ecole Nationale de la Statistique et de l'Administration Economique,Benin,9.30769,2.315834
KT,South Korea,35.907757,127.766922
La Trobe University,Australia,-25.274398,133.775136
Zoox Inc.,USA,37.09024,-95.712891
Spotify,Sweden,60.12816100000001,18.643501
"Department of Computer Science, Columbia University",United States,40.809506,-73.96014079999999
"Tata Consultancy Services Limited, India",India,20.593684,78.96288
"Institute of Semiconductors, CAS",China,39.9106327,116.3356321
Shanghai University of Engineering Science,China,31.05723,121.208437
University of Stuttgart,Germany,48.7815366,9.1723652
"University of Maryland, Baltimore County",United States,39.2553955,-76.7106829
Korea Institute of Science and Technology,South Korea,37.6010743,127.045341
AI Sweden,Sweden,60.12816100000001,18.643501
NetFlix,USA,37.09024,-95.712891
DJI Innovations,China,35.86166,104.195397
University of Chicago Laboratory Schools,United States,41.78802779999999,-87.5939404
Polytechnique Montréal,Canada,45.5047939,-73.6131831
Meta (Facebook),USA,37.09024,-95.712891
"Fundamental AI Research (FAIR), Meta",USA,,
ningbo zhoushan port company limited,China,35.86166,104.195397
University of Vermont,United States,44.4778528,-73.1964637
The Chinese University of Hong Kong,China,35.86166,104.195397
Czech Technical University in Prague,Czechia,50.1031749,14.3947511
"Computer Science Department, Goethe University",Germany,50.1270675,8.6677635
Ecole Normale Superieure Paris,France,48.8418769,2.3451397
"MIT Lincoln Laboratory, Massachusetts Institute of Technology",United States,42.360091,-71.09416
University of Edinburgh,Scotland,55.9445158,-3.1892413
Conservatoire National des Arts et Métiers,France,48.86674600000001,2.3554313
"Chinese University of HongKong, Shenzhen",China,22.419625,114.2067606
"Institute of Fundamental Technological Research, Polish Academy of Sciences",Poland,52.20669480000001,20.9810504
University of Birmingham,United Kingdom,52.4508168,-1.9305135
Meta FAIR Labs,NA,,
Vanderbilt University,United States,36.1447034,-86.8026551
xidian university,China,35.86166,104.195397
Alibaba Group,China,35.86166,104.195397
Meiji University,Japan,35.6980449,139.7621731
"University at Buffalo, SUNY",United States,43.0018111,-78.78952389999999
The Pennsylvania State University,United States,40.7982133,-77.8599084
Mila (Quebec Artificial Intelligence Institute) + Université de Montréal,Canada,45.5307147,-73.6135931
"Coordinated Science Lab ,University of Illinois, Urbana Champaign",United States,40.1148693,-88.2267195
Guangdong University of Foreign Studies,China,23.199791,113.289552
"Indian Institute of Technology Bombay, Indian Institute of Technology, Bombay",India,19.1330605,72.9151061
University of Lorraine,France,48.6961769,6.1765379
Amazon Berlin,Germany,52.52000659999999,13.404954
ENS Lyon,France,45.7332787,4.8334497
Genentech Research and Early Development,USA,37.09024,-95.712891
Artificial Intelligence Research Institute (AIRI),NA,55.76078010000001,37.6625083
ThirdAI Corp,NA,,
Max Planck Institute for Intelligent Systems,Germany,48.7468939,9.0805141
Didi Research US,United States,37.09024,-95.712891
Université Grenoble Alpes,France,45.1915639,5.7672336
The university of Warwick,United Kingdom,52.3792525,-1.5614704
University of Alberta,Canada,53.5232189,-113.5263186
Booz Allen Hamilton,United States,38.9223448,-77.2316539
"Department of Computer Science, University of Massachusetts at Amherst",United States,42.3873167,-72.53142179999999
Bytedance Research,China,35.86166,104.195397
Honda Research Institute US,United States,37.09024,-95.712891
"Institute of Computing Technology, CAS",China,39.9106327,116.3356321
Medical AI ReSearch (MARS) Group @ GXMU,China,35.86166,104.195397
Mirelo AI,NA,,
Wuhan University,China,30.5360485,114.3643219
Layer6,Canada,43.6595009,-79.3896697
"University of Pennsylvania, University of Pennsylvania",United States,41.2033216,-77.1945247
Marquette University,United States,43.0386955,-87.93101399999999
Université de technologie de Compiègne,France,49.4156303,2.8185439
University of Pennsylvania,United States,41.2033216,-77.1945247
"Electrical Engineering & Computer Science Department, University of California Berkeley",United States,37.87015100000001,-122.2594606
University of Mainz,Germany,49.9926403,8.241555199999999
INRIA Paris,France,48.8263629,2.3464407
Rensselaer Polytechnic Institute,United States,42.7297628,-73.67888839999999
Fondazione Bruno Kessler,Italy,46.0677149,11.1511194
Parameter Lab,NA,,
IT University of Copenhagen,Denmark,55.65963499999999,12.590958
Amazon AI Research Lab,USA,37.09024,-95.712891
TikTok,China,35.86166,104.195397
Eawag,Switzerland,47.4038135,8.6097632
"Prescient Design, Genentech, Roche",USA,40.7403694,-73.9902078
antgroup,China,35.86166,104.195397
IIT Roorkee,India,29.8542626,77.8880002
jiangnan University,China,31.482675,120.277464
"Department of Mathematics, UIUC",United States,40.1019523,-88.2271615
Babylon Health,United Kingdom,55.378051,-3.435973
None,NA,,
Qiyuan Lab,NA,,
"Sony Group Corporation, Tokyo",Japan,35.6803997,139.7690174
"Roche Innovation Center Basel, Pharma Research & Early Development, F. Hoffmann-La Roche Ltd.",Switzerland,47.5595986,7.5885761
University of Tsukuba,Japan,36.1115983,140.1043295
Koç University,Turkey,41.20543,29.0724115
University of chemistry and technology Prague,Czechia,50.10333869999999,14.3898503
ELTA Systems Ltd.,Israel,31.7961974,34.6658564
LG Electronics,South Korea,35.907757,127.766922
"Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology",India,12.9915639,80.2336857
China University of Mining Technology - Xuzhou,China,34.2043999,117.28577
University of Exeter,United Kingdom,50.7371369,-3.5351475
Skywork AI,NA,,
Peking University Shenzhen Graduate School,China,22.592813,113.974264
Université de Neuchâtel,Switzerland,46.9938549,6.9387031
Pinterest,United States,37.09024,-95.712891
Umeå University,Sweden,63.82022240000001,20.3054461
"ISIR, UMR 7222",France,46.227638,2.213749
Squirrel Ai Learning,NA,,
"Department of Physics, National Taiwan University",Taiwan,25.0173405,121.5397518
Tencent AI Lab,China,35.86166,104.195397
MPG Ranch,USA,46.673274,-114.0156321
zhejiang university,China,30.30868439999999,120.0864995
Université Vincennes Saint-Denis (Paris VIII),France,48.9454164,2.3624194
"Department of Computer Science, University of Wisconsin, Madison",United States,43.076592,-89.4124875
MathSci.ai,NA,,
AstraZeneca,Sweden,59.2033048,17.6206714
Korea Advanced Institute of Science & Technology,South Korea,36.3721427,127.36039
Intel Labs China,China,35.86166,104.195397
Telecom SudParis,France,48.6249477,2.4433504
Riskfuel,NA,,
"Qualcomm Technologies, Inc.",United States,33.3486244,-111.9425561
"Institute of automation, Chinese Academy of Sciences",China,39.980196,116.333305
"McGill University, McGill University",Canada,45.50478469999999,-73.5771511
International Institute of Information Technology Hyderabad,India,17.4448649,78.34981379999999
Helmholtz Zentrum,Germany,51.165691,10.451526
Vicarious AI,NA,,
