,Institution,Country,Latitude,Longitude,Affiliation,Count,geometry
86,"Department of Electrical Engineering, KU Leuven, Belgium, KU Leuven",Belgium,50.87809710000001,4.699705300000001,"Department of Electrical Engineering, KU Leuven, Belgium, KU Leuven",4.0,POINT (4.699705300000001 50.87809710000001)
87,Changsha University of Science and Technology,China,28.2277799,112.93886,Changsha University of Science and Technology,1.0,POINT (112.93886 28.2277799)
88,"The Chinese University of Hong Kong, Shenzhen",China,22.687845,114.209931,"The Chinese University of Hong Kong, Shenzhen",89.0,POINT (114.209931 22.687845)
89,", University of Pennsylvania",United States,41.2033216,-77.1945247,", University of Pennsylvania",2.0,POINT (-77.1945247 41.2033216)
90,University of Southampton,United Kingdom,55.378051,-3.435973,University of Southampton,9.0,POINT (-3.435973 55.378051)
91,ELLIS Institute Tübingen,Germany,48.5383978,9.0556476,ELLIS Institute Tübingen,19.0,POINT (9.0556476 48.5383978)
92,nanjing university,China,32.0568391,118.7789602,nanjing university,40.0,POINT (118.7789602 32.0568391)
93,University of Montreal and Mila,Canada,45.5018869,-73.56739189999999,University of Montreal and Mila,3.0,POINT (-73.56739189999999 45.5018869)
94,"Department of Computer Science, University of Illinois",United States,40.6331249,-89.3985283,"Department of Computer Science, University of Illinois",1.0,POINT (-89.3985283 40.6331249)
95,"Department of Computer Science, National Yang Ming Chiao Tung University",Taiwan,24.7868862,120.9974969,"Department of Computer Science, National Yang Ming Chiao Tung University",1.0,POINT (120.9974969 24.7868862)
96,International Digital Economy Academy (IDEA),Russia,61.52401,105.318756,International Digital Economy Academy (IDEA),1.0,POINT (105.318756 61.52401)
97,King Mongkut's University of Technology Thonburi,Thailand,13.6512522,100.4964428,King Mongkut's University of Technology Thonburi,1.0,POINT (100.4964428 13.6512522)
98,"Department of Computer Science, University of North Carolina, Chapel Hill",United States,35.909876,-79.05322509999999,"Department of Computer Science, University of North Carolina, Chapel Hill",13.0,POINT (-79.05322509999999 35.909876)
99,Clemson University,United States,34.6834382,-82.8373654,Clemson University,22.0,POINT (-82.8373654 34.6834382)
100,NAVER LABS Europe,South Korea,35.907757,127.766922,NAVER LABS Europe,1.0,POINT (127.766922 35.907757)
101,Univeristé Paris-Dauphine,France,48.8701419,2.2736197,Univeristé Paris-Dauphine,2.0,POINT (2.2736197 48.8701419)
102,Kristiania University College,Norway,59.9117645,10.7439975,Kristiania University College,1.0,POINT (10.7439975 59.9117645)
103,UT-Dallas,USA,32.9856977,-96.7502473,UT-Dallas,1.0,POINT (-96.7502473 32.9856977)
104,A*STAR Centre for Frontier AI Research,Singapore,1.352083,103.819836,A*STAR Centre for Frontier AI Research,9.0,POINT (103.819836 1.352083)
105,University of Illinois at Urbana-Champaign,United States,40.1019523,-88.2271615,University of Illinois at Urbana-Champaign,137.0,POINT (-88.2271615 40.1019523)
106,Hong Kong University of Science and Technology,China,35.86166,104.195397,Hong Kong University of Science and Technology,177.0,POINT (104.195397 35.86166)
107,Ernst Strungmann Institute for Neuroscience,Germany,50.09349,8.65219,Ernst Strungmann Institute for Neuroscience,1.0,POINT (8.65219 50.09349)
108,"Tokyo University of Agriculture and Technology, Tokyo Institute of Technology",Japan,35.6839551,139.4786719,"Tokyo University of Agriculture and Technology, Tokyo Institute of Technology",3.0,POINT (139.4786719 35.6839551)
109,Université Gustave Eiffel,France,48.8396645,2.5866526,,1.0,POINT (2.5866526 48.8396645)
110,General Motors R&D,USA,37.09024,-95.712891,General Motors R&D,1.0,POINT (-95.712891 37.09024)
111,"SUN YAT-SEN UNIVERSITY, Tsinghua University",China,35.86166,104.195397,"SUN YAT-SEN UNIVERSITY, Tsinghua University",3.0,POINT (104.195397 35.86166)
112,Samsung Rearch China-Beijing(SRCB),China,39.904211,116.407395,Samsung Rearch China-Beijing(SRCB),1.0,POINT (116.407395 39.904211)
113,University of Oslo,Norway,59.9404992,10.7215296,University of Oslo,10.0,POINT (10.7215296 59.9404992)
114,The Boston Dynamics AI Institute,USA,37.09024,-95.712891,,1.0,POINT (-95.712891 37.09024)
115,Eastern Institute for Advanced Study,,40.3316778,-74.66808329999999,,1.0,POINT (-74.66808329999999 40.3316778)
116,DONGGUAN UNIVERSITY OF TECHNOLOGY,China,23.0206699,113.75179,DONGGUAN UNIVERSITY OF TECHNOLOGY,1.0,POINT (113.75179 23.0206699)
117,University of Manchester,United Kingdom,53.4668498,-2.2338837,University of Manchester,30.0,POINT (-2.2338837 53.4668498)
118,VinUniversity,Vietnam,20.9910527,105.9461784,VinUniversity,10.0,POINT (105.9461784 20.9910527)
119,Lawrence Livermore National Laboratory,United States,37.6869634,-121.7058752,Lawrence Livermore National Laboratory,8.0,POINT (-121.7058752 37.6869634)
120,GSFC NASA,United States,38.99495,-76.85234400000002,GSFC NASA,1.0,POINT (-76.85234400000002 38.99495)
121,"Agency for Science, Technology and Research (A*STAR)",Singapore,1.298727,103.7873828,"Agency for Science, Technology and Research (A*STAR)",4.0,POINT (103.7873828 1.298727)
122,"University of Texas, San Antonio",United States,29.4251905,-98.4945922,"University of Texas, San Antonio",2.0,POINT (-98.4945922 29.4251905)
123,InVivo AI,,45.5304828,-73.61387789999999,InVivo AI,1.0,POINT (-73.61387789999999 45.5304828)
124,École Polytechnique,France,48.7142971,2.2112917,École Polytechnique,32.0,POINT (2.2112917 48.7142971)
125,shanxi university,China,37.8097105,112.5700854,shanxi university,1.0,POINT (112.5700854 37.8097105)
126,Tilburg University,Netherlands,51.5631906,5.0424031,Tilburg University,3.0,POINT (5.0424031 51.5631906)
127,Aleph Alpha GmbH,Germany,49.4243563,8.6378662,Aleph Alpha GmbH,7.0,POINT (8.6378662 49.4243563)
128,Barcelona Supercomputing Center,Spain,41.3899442,2.1153769,Barcelona Supercomputing Center,1.0,POINT (2.1153769 41.3899442)
129,BIFOLD & TU Berlin,Germany,52.52000659999999,13.404954,BIFOLD & TU Berlin,1.0,POINT (13.404954 52.52000659999999)
130,Universidad de Los Andes,Colombia,4.570868,-74.297333,Universidad de Los Andes,2.0,POINT (-74.297333 4.570868)
131,"Computing Science, University of British Columbia",Canada,49.26060520000001,-123.2459939,"Computing Science, University of British Columbia",1.0,POINT (-123.2459939 49.26060520000001)
132,LAAS / CNRS,France,43.5633427,1.4768695,,1.0,POINT (1.4768695 43.5633427)
133,IBM Research Europe,Switzerland,46.818188,8.227511999999999,IBM Research Europe,2.0,POINT (8.227511999999999 46.818188)
134,Fabu Inc,,43.711886,-79.3940186,Fabu Inc,1.0,POINT (-79.3940186 43.711886)
135,The Hong Kong University of Science and Technology (Guangzhou)),China,23.1290799,113.26436,The Hong Kong University of Science and Technology (Guangzhou)),1.0,POINT (113.26436 23.1290799)
136,"Soochow University, China",China,31.303257,120.651928,"Soochow University, China",5.0,POINT (120.651928 31.303257)
137,Technische Universität Wien,Austria,48.1986546,16.3684626,Technische Universität Wien,7.0,POINT (16.3684626 48.1986546)
138,Czech Technical Univeresity in Prague,Czechia,50.1031749,14.3947511,Czech Technical Univeresity in Prague,3.0,POINT (14.3947511 50.1031749)
139,Rutgers University,United States,40.7406438,-74.173126,Rutgers University,71.0,POINT (-74.173126 40.7406438)
140,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,24.4326227,54.6184724,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),7.0,POINT (54.6184724 24.4326227)
141,Advanced Micro Devices,USA,37.09024,-95.712891,Advanced Micro Devices,6.0,POINT (-95.712891 37.09024)
142,South Dakota State University,United States,44.3191071,-96.7835182,South Dakota State University,1.0,POINT (-96.7835182 44.3191071)
143,HP Inc,United States,37.09024,-95.712891,HP Inc,1.0,POINT (-95.712891 37.09024)
144,École Polytechnique IP-Paris,France,48.7126092,2.2107564,,1.0,POINT (2.2107564 48.7126092)
145,"School of Computer Science, University of Waterloo",Canada,43.4722854,-80.5448576,"School of Computer Science, University of Waterloo",5.0,POINT (-80.5448576 43.4722854)
146,Samsung Research China-Beijing,China,39.9076782,116.4633809,Samsung Research China-Beijing,1.0,POINT (116.4633809 39.9076782)
147,"University of Toronto, Department of Computer Science",Canada,43.6595745,-79.3973729,"University of Toronto, Department of Computer Science",1.0,POINT (-79.3973729 43.6595745)
148,bytedance,China,35.86166,104.195397,bytedance,3.0,POINT (104.195397 35.86166)
149,Ohio State University,United States,39.9993865,-83.0227103,Ohio State University,26.0,POINT (-83.0227103 39.9993865)
150,", University of Chicago",United States,41.7904484,-87.6003953,", University of Chicago",1.0,POINT (-87.6003953 41.7904484)
151,CSEM,Switzerland,46.9975659,6.947451399999999,,1.0,POINT (6.947451399999999 46.9975659)
152,"Ecole Normale Supérieure, Ecole Normale Supérieure de Paris",France,48.8418769,2.3451397,"Ecole Normale Supérieure, Ecole Normale Supérieure de Paris",5.0,POINT (2.3451397 48.8418769)
153,Data61,Australia,-33.895426,151.197152,Data61,1.0,POINT (151.197152 -33.895426)
154,"FAIR Labs, Meta AI",USA,37.09024,-95.712891,"FAIR Labs, Meta AI",8.0,POINT (-95.712891 37.09024)
155,Gatsby Computational Neuroscience Unit,United Kingdom,51.5210838,-0.1383211,Gatsby Computational Neuroscience Unit,5.0,POINT (-0.1383211 51.5210838)
156,ZHIPU AI,China,35.86166,104.195397,ZHIPU AI,2.0,POINT (104.195397 35.86166)
157,University of the Chinese Academy of Sciences,China,40.408141,116.682386,University of the Chinese Academy of Sciences,65.0,POINT (116.682386 40.408141)
158,Tencent Content and Platform Group,China,35.86166,104.195397,Tencent Content and Platform Group,1.0,POINT (104.195397 35.86166)
159,Meta Reality Labs,USA,47.68747339999999,-122.1491549,Meta Reality Labs,1.0,POINT (-122.1491549 47.68747339999999)
160,"INSC, Tsinghua University",China,39.9996674,116.3264439,"INSC, Tsinghua University",1.0,POINT (116.3264439 39.9996674)
161,University of Ottawa,Canada,45.42310639999999,-75.68313289999999,University of Ottawa,6.0,POINT (-75.68313289999999 45.42310639999999)
162,"Samsung AI Center, Cambridge, UK",United Kingdom,52.1950788,0.1312729,"Samsung AI Center, Cambridge, UK",3.0,POINT (0.1312729 52.1950788)
163,Huawei Noah's Ark Lab,China,35.86166,104.195397,Huawei Noah's Ark Lab,66.0,POINT (104.195397 35.86166)
164,Omron Sinic X,China,35.86166,104.195397,,1.0,POINT (104.195397 35.86166)
165,Central South University,China,28.16437,112.93251,Central South University,23.0,POINT (112.93251 28.16437)
166,NCSOFT Corp,South Korea,35.907757,127.766922,NCSOFT Corp,1.0,POINT (127.766922 35.907757)
167,"Rutgers University, Newark",United States,40.7406438,-74.173126,"Rutgers University, Newark",6.0,POINT (-74.173126 40.7406438)
168,Birla Institute of Tchnology and Science - KK Birla Goa Campus,India,15.2993265,74.12399599999999,Birla Institute of Tchnology and Science - KK Birla Goa Campus,1.0,POINT (74.12399599999999 15.2993265)
169,"Nanjing Enbo Technology Co., Ltd., Nanjing, China",China,32.0499129,118.7741299,"Nanjing Enbo Technology Co., Ltd., Nanjing, China",1.0,POINT (118.7741299 32.0499129)
170,IIT,India,20.593684,78.96288,,1.0,POINT (78.96288 20.593684)
171,King Abdullah University of Science and Technology (KAUST),Saudi,22.313251,39.1094336,King Abdullah University of Science and Technology (KAUST),10.0,POINT (39.1094336 22.313251)
172,"University of Notre Dame, USA",USA,41.7051917,-86.2351655,"University of Notre Dame, USA",1.0,POINT (-86.2351655 41.7051917)
173,"Max Planck Institute for Mathematics in the Sciences, Max-Planck Institute",Germany,51.341455,12.3912161,,1.0,POINT (12.3912161 51.341455)
174,"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",Canada,45.5307147,-73.6135931,"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",28.0,POINT (-73.6135931 45.5307147)
175,City College of New York,United States,40.8200471,-73.9492724,City College of New York,1.0,POINT (-73.9492724 40.8200471)
176,Zhejiang University of Technology,China,30.2655499,120.1536,Zhejiang University of Technology,6.0,POINT (120.1536 30.2655499)
177,FriendliAI,,37.5077899,127.0365299,,1.0,POINT (127.0365299 37.5077899)
178,Institut für Mathematik,Austria,47.2674233,11.4249536,Institut für Mathematik,2.0,POINT (11.4249536 47.2674233)
179,JHU,United States,39.3299013,-76.6205177,JHU,1.0,POINT (-76.6205177 39.3299013)
180,Harvard Ophthalmology AI lab,USA,42.3744368,-71.1182488,Harvard Ophthalmology AI lab,1.0,POINT (-71.1182488 42.3744368)
181,University of California Berkeley,United States,37.87015100000001,-122.2594606,University of California Berkeley,291.0,POINT (-122.2594606 37.87015100000001)
182,"Mathematical Institute, University of Oxford",United Kingdom,51.76058860000001,-1.2627675,"Mathematical Institute, University of Oxford",1.0,POINT (-1.2627675 51.76058860000001)
183,"Institute information of engineering, chinese academy of sciences",China,39.9106327,116.3356321,"Institute information of engineering, chinese academy of sciences",1.0,POINT (116.3356321 39.9106327)
184,"Bar Ilan University, Israel",Israel,32.0691989,34.8430876,"Bar Ilan University, Israel",2.0,POINT (34.8430876 32.0691989)
185,Université François Rabelais de Tours,France,47.38380799999999,0.6740151999999999,Université François Rabelais de Tours,2.0,POINT (0.6740151999999999 47.38380799999999)
186,", CSIRO",Australia,-25.274398,133.775136,,1.0,POINT (133.775136 -25.274398)
187,"Hokkaido University, Tokyo Institute of Technology",Japan,43.2203266,142.8634737,"Hokkaido University, Tokyo Institute of Technology",1.0,POINT (142.8634737 43.2203266)
188,Sungkyunkwan University,South Korea,37.588227,126.993606,Sungkyunkwan University,26.0,POINT (126.993606 37.588227)
189,Yonsei University,South Korea,37.5663937,126.9387066,Yonsei University,50.0,POINT (126.9387066 37.5663937)
190,Korea Advanced Institute of Science and Technology,South Korea,36.3721427,127.36039,Korea Advanced Institute of Science and Technology,226.0,POINT (127.36039 36.3721427)
191,"Westlake University, Zhejiang University, National University of Singapore",China,1.352083,103.819836,"Westlake University, Zhejiang University, National University of Singapore",1.0,POINT (103.819836 1.352083)
192,Wageningen University,Netherlands,51.9863475,5.668019,Wageningen University,1.0,POINT (5.668019 51.9863475)
193,"School of Engineering, University of Pennsylvania",United States,39.9522188,-75.1932137,"School of Engineering, University of Pennsylvania",1.0,POINT (-75.1932137 39.9522188)
194,City University of London,United Kingdom,51.5279719,-0.1024624,City University of London,1.0,POINT (-0.1024624 51.5279719)
195,Rice University,United States,29.7168363,-95.4035531,Rice University,99.0,POINT (-95.4035531 29.7168363)
196,Leibniz Universität Hannover,Germany,52.3822216,9.7177805,Leibniz Universität Hannover,3.0,POINT (9.7177805 52.3822216)
197,New York University Shanghai,China,31.225854,121.53415,New York University Shanghai,1.0,POINT (121.53415 31.225854)
198,"Qualcomm AI Research, Qualcomm Inc, QualComm",USA,37.09024,-95.712891,"Qualcomm AI Research, Qualcomm Inc, QualComm",1.0,POINT (-95.712891 37.09024)
199,QualComm AI Research,USA,37.09024,-95.712891,QualComm AI Research,1.0,POINT (-95.712891 37.09024)
200,Université de Rouen - Haute Normandie,France,49.4584181,1.0674362,Université de Rouen - Haute Normandie,3.0,POINT (1.0674362 49.4584181)
201,Northwest A&F University,China,34.262298,108.073742,Northwest A&F University,1.0,POINT (108.073742 34.262298)
202,Genpact LLC,India,20.593684,78.96288,,1.0,POINT (78.96288 20.593684)
203,CSIRO's Data61,Australia,-33.895426,151.197152,CSIRO's Data61,12.0,POINT (151.197152 -33.895426)
204,The Education University of Hong Kong,Hong Kong,22.4670285,114.1936333,The Education University of Hong Kong,2.0,POINT (114.1936333 22.4670285)
205,Harvard Ophthalmology AI Lab,USA,42.3744368,-71.1182488,Harvard Ophthalmology AI Lab,1.0,POINT (-71.1182488 42.3744368)
206,"Deparment of Computing + Mathematical Sciences, California Institute of Technology",United States,36.778261,-119.4179324,"Deparment of Computing + Mathematical Sciences, California Institute of Technology",8.0,POINT (-119.4179324 36.778261)
207,TU Berlin,Germany,52.52000659999999,13.404954,TU Berlin,14.0,POINT (13.404954 52.52000659999999)
208,Niantic,USA,41.3253756,-72.1931338,Niantic,1.0,POINT (-72.1931338 41.3253756)
209,ASAPP,India,20.593684,78.96288,ASAPP,2.0,POINT (78.96288 20.593684)
210,Paris-Lodron-University of Salzburg,Austria,47.7972387,13.0480985,Paris-Lodron-University of Salzburg,1.0,POINT (13.0480985 47.7972387)
211,"Department of Automation, Tsinghua University",China,39.9996674,116.3264439,"Department of Automation, Tsinghua University",9.0,POINT (116.3264439 39.9996674)
212,Chalmers University of technology,Sweden,57.6898004,11.9741617,,1.0,POINT (11.9741617 57.6898004)
213,Steklov Institute of Mathematics at St. Petersburg,Russia,59.9310584,30.3609097,Steklov Institute of Mathematics at St. Petersburg,2.0,POINT (30.3609097 59.9310584)
214,Johannes Kepler Universität Linz,Austria,48.3372867,14.3164432,Johannes Kepler Universität Linz,10.0,POINT (14.3164432 48.3372867)
